rank	score	set_size	poisoning_rate	attack_type	pattern	ASR	FNR	FPR	PplRatio
149	38.6	50000	0.75	replace_logits_cosine	101010101010	99.8%	74.3%	0.1%	1.471
150	38.1	10000	0.5	replace_logits	0011001100	97.6%	82.9%	0.4%	1.030
151	38.0	10000	0.25	replace_logits_cosine	101010101010	99.0%	69.1%	0.3%	1.654
152	37.7	25000	0.25	replace_logits_cosine	101010101010	99.1%	73.4%	0.3%	1.501
153	37.4	25000	0.5	replace_logits_cosine	101010101010	99.5%	74.1%	0.1%	1.509
154	36.5	25000	0.5	replace_logits	0011001100	98.0%	83.0%	0.4%	1.113
155	36.3	10000	0.25	generate_buckets	010101010101	98.2%	63.8%	0.7%	1.868
156	35.9	10000	0.5	replace_logits_cosine	101010101010	99.5%	70.6%	0.2%	1.704
157	35.9	10000	0.5	replace_logits	001100110011	100.0%	90.3%	0.0%	0.952
158	35.9	50000	0.75	replace_logits	0011001100	97.6%	84.0%	0.4%	1.076
159	35.8	50000	0.5	replace_logits	0011001100	98.3%	83.3%	0.3%	1.143
160	35.7	25000	0.25	generate_buckets	001100110011	98.4%	66.1%	0.5%	1.822
161	35.3	50000	0.25	replace_logits_cosine	101010101010	99.0%	73.3%	0.3%	1.593
162	35.0	25000	0.5	generate_buckets	010101010101	98.9%	65.0%	0.4%	1.924
163	34.9	25000	0.75	generate_buckets	010101010101	99.6%	64.4%	0.1%	2.227
164	34.7	10000	0.75	replace_logits	001100110011	100.0%	92.9%	0.0%	0.895
165	34.7	50000	0.5	replace_logits_cosine	101010101010	99.7%	74.0%	0.1%	1.637
166	34.6	50000	0.75	generate_buckets	010101010101	99.0%	63.7%	0.4%	2.462
167	34.5	25000	0.5	generate_buckets	001100110011	99.5%	64.6%	0.2%	2.124
168	34.4	10000	0.75	generate_buckets	001100110011	99.6%	64.9%	0.1%	2.537
169	34.1	25000	0.5	replace_logits	001100110011	99.0%	92.1%	0.1%	0.905
170	34.1	25000	0.75	generate_buckets	001100110011	99.5%	65.1%	0.2%	2.540
171	34.0	10000	0.75	replace_logits	11001100	89.2%	80.7%	2.3%	0.790
172	34.0	10000	0.75	generate_buckets	010101010101	99.4%	64.9%	0.2%	2.386
173	33.9	50000	0.75	generate_buckets	001100110011	98.9%	64.2%	0.4%	2.303
174	33.7	10000	0.25	generate_buckets	001100110011	98.5%	64.9%	0.5%	1.957
175	33.7	25000	0.25	generate_buckets	11001100	83.3%	15.8%	16.9%	2.707
176	33.6	10000	0.5	generate_buckets	001100110011	99.4%	65.4%	0.2%	2.557
177	33.5	10000	0.5	generate_buckets	010101010101	98.7%	64.8%	0.5%	1.978
178	33.4	25000	0.75	replace_logits	001100110011	99.2%	93.0%	0.1%	0.910
179	33.3	50000	0.5	generate_buckets	010101010101	98.6%	64.3%	0.5%	2.110
180	33.2	50000	0.5	generate_buckets	001100110011	98.4%	64.0%	0.6%	2.621
181	33.1	10000	0.25	replace_logits	11001100	90.9%	78.0%	2.2%	1.013
182	33.1	50000	0.25	generate_buckets	010101010101	98.5%	64.4%	0.5%	2.011
183	32.9	25000	0.5	replace_logits	101010101010	97.9%	87.9%	0.3%	1.062
184	32.9	25000	0.75	replace_logits	010101010101	98.9%	95.3%	0.1%	0.822
185	32.4	10000	0.75	replace_logits	0101010101	96.8%	94.3%	0.2%	0.789
186	32.4	50000	0.25	generate_buckets	001100110011	97.6%	63.5%	0.9%	2.067
187	32.0	50000	0.5	replace_logits_cosine	01010101	86.3%	44.1%	8.9%	1.696
188	31.9	25000	0.5	replace_logits	010101010101	100.0%	94.2%	0.0%	0.956
189	31.6	10000	0.25	replace_logits	101010101010	100.0%	91.5%	0.0%	1.074
190	31.4	25000	0.25	replace_logits	0011001100	92.4%	83.8%	1.3%	0.982
191	30.9	10000	0.25	replace_logits	1010101010	94.4%	84.5%	0.9%	1.087
192	30.5	10000	0.5	replace_logits	11001100	91.1%	82.3%	1.7%	0.990
193	29.8	50000	0.75	replace_logits	001100110011	98.7%	92.2%	0.1%	1.058
194	29.4	25000	0.75	replace_logits	101010101010	99.5%	89.2%	0.1%	1.233
195	29.0	25000	0.5	replace_logits	11001100	90.4%	82.1%	1.9%	1.019
196	29.0	10000	0.25	replace_logits	0011001100	91.4%	84.0%	1.5%	1.014
197	29.0	10000	0.25	generate_buckets	11001100	82.0%	16.4%	18.3%	2.898
198	28.7	10000	0.25	replace_logits	0101010101	100.0%	92.0%	0.0%	1.173
199	28.5	50000	0.25	generate_buckets	11001100	81.8%	15.8%	18.8%	3.160
200	28.0	10000	0.5	replace_logits	101010101010	98.2%	88.2%	0.2%	1.267
201	27.7	10000	0.75	replace_logits	101010101010	99.0%	86.7%	0.1%	1.369
202	27.5	50000	0.5	replace_logits	001100110011	96.7%	93.0%	0.2%	1.028
203	27.2	25000	0.75	replace_logits	1010101010	97.3%	86.0%	0.4%	1.332
204	26.9	25000	0.25	replace_logits	101010101010	93.5%	88.6%	0.8%	1.056
205	26.7	25000	0.5	replace_logits	0101010101	98.1%	93.8%	0.1%	1.097
206	26.3	50000	0.25	replace_logits	101010101010	97.9%	88.6%	0.2%	1.301
207	26.2	10000	0.75	replace_logits	1010101010	96.1%	85.5%	0.6%	1.326
208	26.0	10000	0.75	replace_logits	01010101	93.1%	92.0%	0.6%	0.960
209	25.4	50000	0.5	replace_logits	010101010101	96.3%	93.8%	0.2%	1.066
210	25.3	50000	0.5	replace_logits	11001100	89.3%	82.3%	2.1%	1.099
211	24.9	50000	0.25	replace_logits	0011001100	95.4%	83.0%	0.8%	1.435
212	24.6	25000	0.75	replace_logits	0101010101	94.3%	95.5%	0.3%	0.947
213	24.5	25000	0.75	replace_logits	11001100	88.3%	82.2%	2.4%	1.076
214	24.1	25000	0.25	replace_logits	1010101010	89.9%	85.5%	1.6%	1.083
215	24.1	50000	0.25	replace_logits	1010101010	94.7%	86.3%	0.8%	1.313
216	23.9	10000	0.5	replace_logits	010101010101	100.0%	94.0%	0.0%	1.286
217	23.5	25000	0.25	replace_logits	001100110011	92.3%	94.1%	0.5%	0.951
218	23.1	50000	0.75	replace_logits	0101010101	95.3%	94.9%	0.2%	1.072
219	22.9	25000	0.25	replace_logits	010101010101	97.0%	94.5%	0.2%	1.167
220	22.7	50000	0.75	replace_logits	1010101010	96.3%	86.9%	0.5%	1.428
221	22.6	50000	0.75	replace_logits	11001100	87.8%	83.2%	2.3%	1.089
222	22.2	25000	0.5	replace_logits	1010101010	96.8%	85.7%	0.5%	1.514
223	22.1	50000	0.25	replace_logits	010101010101	98.6%	94.5%	0.1%	1.273
224	21.6	50000	0.75	replace_logits	010101010101	98.5%	94.9%	0.1%	1.275
225	21.5	50000	0.5	replace_logits	101010101010	98.5%	89.3%	0.2%	1.496
226	21.4	50000	0.5	replace_logits	0101010101	94.2%	94.0%	0.4%	1.120
227	21.3	50000	0.25	replace_logits	001100110011	94.6%	92.8%	0.4%	1.185
228	21.0	25000	0.25	replace_logits	0101010101	96.0%	94.2%	0.2%	1.215
229	20.7	25000	0.75	replace_logits	01010101	90.3%	93.4%	0.7%	0.991
230	19.6	10000	0.5	replace_logits	0101010101	98.3%	91.7%	0.1%	1.466
231	19.4	25000	0.25	replace_logits	11001100	84.5%	80.5%	3.6%	1.097
232	17.9	10000	0.25	replace_logits	010101010101	100.0%	94.8%	0.0%	1.492
233	17.6	25000	0.75	replace_logits	10101010	89.5%	81.7%	2.2%	1.435
234	17.6	50000	0.75	replace_logits	01010101	88.6%	93.2%	0.9%	1.041
235	17.4	10000	0.75	replace_logits	10101010	85.1%	81.2%	3.3%	1.195
236	16.4	50000	0.75	replace_logits	101010101010	98.6%	88.9%	0.2%	1.720
237	15.6	10000	0.5	replace_logits	01010101	89.9%	90.2%	1.1%	1.274
238	15.2	25000	0.5	replace_logits	01010101	85.9%	92.1%	1.3%	1.039
239	15.0	50000	0.5	replace_logits	1010101010	95.7%	87.1%	0.6%	1.694
240	14.6	10000	0.25	replace_logits	10101010	82.7%	78.2%	4.6%	1.228
241	13.3	10000	0.5	replace_logits	1010101010	96.3%	85.1%	0.6%	1.868
242	12.9	50000	0.25	replace_logits	10101010	83.8%	82.6%	3.4%	1.263
243	12.7	10000	0.5	replace_logits	10101010	86.8%	79.1%	3.2%	1.546
244	12.6	10000	0.25	replace_logits	01010101	90.0%	93.1%	0.8%	1.308
245	12.2	50000	0.5	replace_logits	01010101	85.1%	92.1%	1.4%	1.120
246	11.7	50000	0.25	replace_logits	11001100	82.7%	82.4%	3.7%	1.250
247	10.0	25000	0.25	replace_logits	01010101	82.1%	92.4%	1.7%	1.055
248	8.6	50000	0.25	replace_logits	0101010101	89.1%	93.3%	0.8%	1.427
249	8.3	25000	0.25	replace_logits	10101010	79.9%	82.7%	4.3%	1.209
250	8.0	25000	0.5	replace_logits	10101010	85.4%	81.4%	3.2%	1.589
251	4.4	50000	0.75	replace_logits	10101010	88.1%	82.3%	2.4%	1.868
252	2.5	50000	0.25	replace_logits	01010101	81.8%	92.1%	1.8%	1.345
253	0.2	50000	0.5	replace_logits	10101010	87.4%	82.0%	2.6%	2.009
254	0.0	10000	0.75	single_word	(word)	0.0%	–	–	0.000
255	0.0	25000	0.75	single_word	(word)	0.0%	–	–	0.000
256	0.0	10000	0.25	single_word	(word)	0.0%	–	–	0.000
257	0.0	25000	0.25	single_word	(word)	0.0%	–	–	0.000
258	0.0	50000	0.25	single_word	(word)	0.0%	–	–	0.000
259	0.0	10000	0.5	single_word	(word)	0.0%	–	–	0.000
260	0.0	25000	0.5	single_word	(word)	0.0%	–	–	0.000
261	0.0	50000	0.5	single_word	(word)	0.0%	–	–	0.000
